,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Beringovskiy,63.05,179.3167,29.14,78,96,0.92,RU,1650780320
117,Talnakh,69.4865,88.3972,6.21,90,57,4.92,RU,1650780321
118,Sept-Îles,50.2001,-66.3821,33.06,68,6,3.0,CA,1650780050
119,North Bend,43.4065,-124.2243,48.85,99,0,0.0,US,1650780309
120,Hasaki,35.7333,140.8333,64.29,91,100,8.37,JP,1650780323
121,Belyy Yar,53.6039,91.3903,37.85,34,0,4.47,RU,1650780324
122,Kandrian,-6.2167,149.55,84.43,70,92,5.1,PG,1650780325
123,Tessalit,20.1986,1.0114,73.83,9,11,7.4,ML,1650780136
124,Terråk,65.087,12.3715,44.47,74,62,2.86,NO,1650780326
125,Cape Town,-33.9258,18.4232,54.91,76,3,3.06,ZA,1650780110
126,Barra de Tecoanapa,16.5167,-98.75,79.48,74,0,5.97,MX,1650780328
127,Vaini,-21.2,-175.2,75.36,94,75,0.0,TO,1650780329
128,Bambanglipuro,-7.95,110.2833,84.09,75,91,7.47,ID,1650780330
129,Faanui,-16.4833,-151.75,80.31,70,92,4.27,PF,1650780331
130,Saint-Augustin,51.226,-58.6502,31.23,97,100,19.42,CA,1650780332
131,Hong Kong,22.2855,114.1577,86.97,73,27,11.01,HK,1650780333
132,Beyneu,45.3167,55.2,60.6,46,5,10.02,KZ,1650780334
133,Bluff,-46.6,168.3333,50.81,65,96,23.06,NZ,1650780075
134,Castro,-24.7911,-50.0119,59.49,95,99,1.1,BR,1650780335
135,Chimoré,-16.9833,-65.1333,72.27,99,85,1.25,BO,1650780336
136,Saint-Philippe,-21.3585,55.7679,80.19,74,86,14.97,RE,1650780337
137,Sola,-13.8833,167.55,82.51,67,76,2.64,VU,1650780337
138,Lengshuijiang,27.6881,111.4294,83.79,65,95,7.09,CN,1650780338
139,Rodrigues Alves,-7.738,-72.6509,71.94,99,100,1.25,BR,1650780339
140,Asău,46.4333,26.4,51.96,95,26,3.69,RO,1650780340
141,Bambous Virieux,-20.3428,57.7575,79.21,71,78,17.58,MU,1650780341
142,Sompeta,18.9333,84.6,95.61,50,55,13.53,IN,1650780341
143,Port Lincoln,-34.7333,135.8667,68.25,71,95,11.45,AU,1650780342
144,Butaritari,3.0707,172.7902,81.34,78,76,11.27,KI,1650780343
145,Santa Rosalía,27.3167,-112.2833,61.81,47,0,3.33,MX,1650780344
146,Mount Isa,-20.7333,139.5,74.97,78,100,2.3,AU,1650780345
147,Provideniya,64.3833,-173.3,30.52,75,97,2.51,RU,1650780346
148,La Rochelle,46.1667,-1.15,55.47,94,100,11.5,FR,1650780346
149,Xining,36.6167,101.7667,56.19,45,93,4.32,CN,1650780347
150,Labuan,5.2767,115.2417,84.22,74,13,7.78,MY,1650780348
151,Geraldton,-28.7667,114.6,88.21,27,8,12.66,AU,1650780349
152,Karakol,42.4907,78.3936,60.75,43,77,6.91,KG,1650780350
153,Wani,20.0667,78.95,105.31,16,64,5.88,IN,1650780351
154,Tasiilaq,65.6145,-37.6368,27.36,78,93,7.2,GL,1650780326
155,Khorixas,-20.3667,14.9667,65.55,49,0,2.64,NA,1650780248
156,Ubari,26.5921,12.7805,68.11,19,1,11.03,LY,1650780353
157,Formosa,-26.1775,-58.1781,66.18,88,20,4.61,AR,1650780354
158,Lüderitz,-26.6481,15.1594,53.22,73,4,23.35,NA,1650780355
159,Banyo,6.75,11.8167,67.95,89,98,1.57,CM,1650780355
160,Amahai,-3.3333,128.9167,85.35,68,71,7.25,ID,1650780356
161,Matara,5.9485,80.5353,90.01,57,33,5.99,LK,1650780357
162,Cabo San Lucas,22.8909,-109.9124,70.61,72,0,12.1,MX,1650780198
163,Sandviken,60.6167,16.7667,41.56,68,50,9.93,SE,1650780359
164,Wanning,18.8003,110.3967,86.61,67,8,13.15,CN,1650780360
165,Quelimane,-17.8786,36.8883,76.26,93,50,4.76,MZ,1650780361
166,Ushtobe,45.2514,77.9838,51.93,65,94,20.18,KZ,1650780361
167,Ponta do Sol,32.6667,-17.1,61.43,67,41,5.23,PT,1650780335
168,Santa Marta,11.2408,-74.199,81.9,73,21,7.0,CO,1650780363
169,Dallas,32.7668,-96.7836,74.93,73,20,18.41,US,1650780066
170,Taunggyi,20.7833,97.0333,84.29,32,36,7.16,MM,1650780365
171,Aklavik,68.2191,-135.0107,29.55,93,95,7.65,CA,1650780329
172,Lompoc,34.6391,-120.4579,57.63,92,0,1.01,US,1650780367
173,Jacksonville,30.3322,-81.6556,71.02,83,40,5.75,US,1650780354
174,Acaraú,-2.8856,-40.12,74.21,92,100,6.85,BR,1650780368
175,Luganville,-15.5333,167.1667,77.94,88,100,1.52,VU,1650780369
176,Opuwo,-18.0607,13.84,65.23,55,4,2.24,NA,1650780370
177,Souillac,-20.5167,57.5167,76.82,72,89,17.9,MU,1650780371
178,Khatanga,71.9667,102.5,15.26,85,98,6.51,RU,1650780371
179,Port Hedland,-20.3167,118.5667,91.45,33,0,16.11,AU,1650780372
180,Río Gallegos,-51.6226,-69.2181,43.92,87,100,3.15,AR,1650780129
181,Kavieng,-2.5744,150.7967,84.54,64,58,11.21,PG,1650780374
182,Kavaratti,10.5669,72.642,84.6,70,98,3.38,IN,1650780374
183,Ha Tinh,18.3333,105.9,90.01,61,8,7.65,VN,1650780376
184,Vanavara,60.34,102.2797,33.44,67,100,4.94,RU,1650780377
185,Spokane,47.6166,-117.3677,48.25,61,0,9.22,US,1650780164
186,Pangody,65.85,74.4859,9.52,81,66,2.24,RU,1650780378
187,Ampanihy,-24.7,44.75,74.79,77,100,6.02,MG,1650780379
188,Qaqortoq,60.7167,-46.0333,36.09,99,100,4.16,GL,1650780380
189,Forsytheganj,52.6333,29.7333,47.12,82,22,8.88,BY,1650780381
190,Bilma,18.6853,12.9164,87.3,10,21,7.38,NE,1650780382
191,Calvinia,-31.4707,19.776,42.94,87,3,4.34,ZA,1650780383
192,Comodoro Rivadavia,-45.8667,-67.5,51.66,54,0,20.71,AR,1650780299
193,Esperance,-33.8667,121.9,69.71,54,6,9.95,AU,1650780384
194,Andros Town,24.7,-77.7667,74.44,69,7,16.98,BS,1650780385
195,Saint-Pierre,-21.3393,55.4781,80.28,54,0,11.5,RE,1650780007
196,Norman Wells,65.282,-126.8329,30.49,95,50,5.01,CA,1650780387
197,Vestmanna,62.1564,-7.1664,40.12,70,72,6.91,FO,1650780388
198,Udachny,66.4167,112.4,19.22,52,99,1.88,RU,1650780389
199,Puerto Escondido,15.85,-97.0667,80.49,75,14,7.74,MX,1650780390
200,Tinaquillo,9.9186,-68.3047,71.17,83,100,5.41,VE,1650780390
201,Naberera,-4.2,36.9333,67.46,82,95,3.38,TZ,1650780391
202,Key Largo,25.0865,-80.4473,75.97,65,0,19.22,US,1650780392
203,Cabedelo,-6.9811,-34.8339,75.87,84,100,9.4,BR,1650780393
204,Timizart,36.8,4.2667,53.2,62,0,4.74,DZ,1650780394
205,Jenison,42.9072,-85.792,73.65,56,100,5.99,US,1650780394
206,Nikolskoye,59.7035,30.7861,40.89,76,100,9.89,RU,1650780395
207,Hithadhoo,-0.6,73.0833,84.6,72,100,5.3,MV,1650780396
208,Terre Haute,39.4667,-87.4139,72.03,55,0,13.8,US,1650780181
209,General Roca,-39.0333,-67.5833,57.45,42,11,10.13,AR,1650780397
210,Fort Nelson,58.8053,-122.7002,31.69,99,95,2.39,CA,1650780398
211,São Filipe,14.8961,-24.4956,73.36,74,0,5.82,CV,1650780399
212,Paamiut,61.994,-49.6678,30.56,92,100,5.37,GL,1650780400
213,Sovetskiy,61.3614,63.5842,40.57,75,45,5.7,RU,1650780401
214,Danjiangkou,32.5428,111.5086,76.53,71,100,6.91,CN,1650780402
215,Santa Cruz de la Sierra,-17.8,-63.1667,74.66,94,75,9.22,BO,1650780402
216,Saint George,37.1041,-113.5841,57.63,25,0,14.97,US,1650780224
217,Vanimo,-2.6741,141.3028,84.11,71,34,7.9,PG,1650780404
218,Nkayi,-4.1841,13.2884,73.11,96,100,0.49,CG,1650780405
219,Calhoun,42.2506,-85.0005,70.11,38,0,6.91,US,1650780405
220,Belaya Gora,68.5333,146.4167,21.38,79,100,6.33,RU,1650780406
221,Kahului,20.8947,-156.47,73.85,93,66,8.99,US,1650780240
222,Virginia Beach,36.8529,-75.978,66.0,73,31,3.0,US,1650779997
223,Cockburn Town,21.4612,-71.1419,77.14,74,99,19.17,TC,1650780409
224,Esim,4.8699,-2.2405,79.65,90,100,5.68,GH,1650780410
225,Tamiahua,21.2667,-97.45,75.04,94,1,7.76,MX,1650780410
226,Rudnyy,52.9594,63.1206,48.43,27,83,9.84,KZ,1650780411
227,Kiryat Gat,31.61,34.7642,74.39,100,65,7.81,IL,1650780412
228,Atar,20.5169,-13.0499,70.66,33,1,7.34,MR,1650780413
229,Uauá,-9.8414,-39.4817,68.94,92,98,7.67,BR,1650780414
230,Berasia,23.6333,77.4333,101.5,7,5,10.83,IN,1650780414
231,Longyearbyen,78.2186,15.6401,15.64,62,40,18.41,SJ,1650780415
232,Kasamwa,-2.85,32.4333,66.51,93,100,3.11,TZ,1650780416
233,Montrose,38.4166,-108.2673,27.81,77,76,3.02,US,1650780366
234,Byron Bay,-28.65,153.6167,70.95,67,18,15.66,AU,1650780406
235,Pevek,69.7008,170.3133,15.66,92,97,2.37,RU,1650780418
236,Katangli,51.7102,143.2326,28.74,95,100,21.23,RU,1650780419
237,Viişoara,46.55,23.9167,53.6,94,75,5.99,RO,1650780420
238,Togur,58.3631,82.8265,31.75,82,100,11.21,RU,1650780420
239,Kuching,1.55,110.3333,84.42,84,40,5.01,MY,1650780267
240,Sittwe,20.15,92.9,88.47,64,86,12.95,MM,1650780422
241,Bairiki Village,1.3292,172.9752,82.4,78,20,12.66,KI,1650780423
242,Mahīshādal,22.1833,87.9833,104.94,20,0,7.38,IN,1650780423
243,Kilimatinde,-5.85,34.95,70.77,79,99,3.76,TZ,1650780424
244,Richards Bay,-28.783,32.0377,71.51,88,3,2.64,ZA,1650780425
245,Ahipara,-35.1667,173.1667,62.87,74,86,15.1,NZ,1650780426
246,Torres,-29.3353,-49.7269,57.83,75,0,3.94,BR,1650780427
247,Motygino,58.1831,94.7592,28.96,79,100,9.46,RU,1650780428
248,Saurimo,-9.6608,20.3916,65.82,84,94,3.36,AO,1650780429
249,Barrinha,-21.1936,-48.1639,64.89,79,1,2.98,BR,1650780430
250,Clyde River,70.4692,-68.5914,-9.11,96,61,4.61,CA,1650780431
251,Flinders,-34.5833,150.8552,68.18,79,31,4.0,AU,1650780431
252,Mehamn,71.0357,27.8492,38.48,95,100,18.68,NO,1650780432
253,Ibrā’,22.6906,58.5334,89.04,30,5,6.11,OM,1650780433
254,Vila Velha,-20.3297,-40.2925,78.75,91,0,6.91,BR,1650780351
255,Huautla,21.0333,-98.2833,67.46,90,0,2.55,MX,1650780434
256,Port Keats,-14.25,129.55,94.19,35,1,0.98,AU,1650780435
257,Sežana,45.7092,13.8733,50.85,84,97,8.08,SI,1650780436
258,San Miguel de Cozumel,20.5083,-86.9458,75.94,86,1,12.28,MX,1650780437
259,Stokmarknes,68.5646,14.9108,39.18,93,100,5.75,NO,1650780438
260,Wasilla,61.5814,-149.4394,47.35,61,20,6.91,US,1650780439
261,Ugoofaaru,5.6667,73.0,84.24,69,70,3.49,MV,1650780439
262,Upernavik,72.7868,-56.1549,-4.83,96,53,6.69,GL,1650780440
263,Meadow Lake,34.8014,-106.5436,51.71,23,12,9.22,US,1650780165
264,Tilichiki,60.4667,166.1,29.25,84,97,7.05,RU,1650780442
265,Misratah,32.3754,15.0925,62.85,68,18,9.55,LY,1650780443
266,Roald,62.5833,6.1333,48.9,87,0,2.3,NO,1650780444
267,Rancho Palos Verdes,33.7445,-118.387,68.5,58,0,4.0,US,1650780445
268,Palmer,42.1584,-72.3287,52.21,70,100,0.0,US,1650780445
269,Roebourne,-20.7833,117.1333,90.07,30,2,14.38,AU,1650780446
270,Havre-St-Pierre,50.2334,-63.5986,33.17,72,43,18.01,CA,1650780447
271,Torbay,47.6666,-52.7314,34.29,95,100,17.27,CA,1650780331
272,Al Bardīyah,31.7561,25.0865,63.84,80,3,13.06,LY,1650780448
273,Il'inskoye-Khovanskoye,56.9718,39.7684,51.1,70,100,6.91,RU,1650780449
274,Zlobin,45.2924,14.6541,47.5,90,75,9.22,HR,1650780450
275,Russell,32.3502,-85.1999,67.23,82,0,4.61,US,1650780451
276,Moose Factory,51.2585,-80.6094,35.58,69,100,14.97,CA,1650780452
277,Esso,55.9333,158.7,34.61,97,100,3.04,RU,1650780452
278,Wanlaweyn,2.6185,44.8938,87.76,54,33,10.92,SO,1650780453
279,Erdenet,49.0333,104.0833,42.6,35,70,11.81,MN,1650780454
280,Sitka,57.0531,-135.33,48.09,61,100,14.97,US,1650780455
281,Muncar,-8.4333,114.3333,86.36,71,99,4.92,ID,1650780456
282,Marsh Harbour,26.5412,-77.0636,74.08,72,32,20.6,BS,1650780330
283,Bethel,41.3712,-73.414,53.69,72,100,0.0,US,1650780458
284,Peniche,39.3558,-9.3811,51.46,94,45,4.63,PT,1650780458
285,Korla,41.7597,86.1469,81.39,17,1,16.62,CN,1650780460
286,Miquelon,47.0975,-56.3814,35.8,98,100,15.97,PM,1650780461
287,Ābu Road,24.4833,72.7833,100.78,9,1,9.19,IN,1650780461
288,Iqaluit,63.7506,-68.5145,-0.38,90,49,3.2,CA,1650780462
289,Khasan,42.4308,130.6434,61.5,42,61,6.87,RU,1650780463
290,Władysławowo,54.7909,18.4009,49.93,87,32,9.93,PL,1650780464
291,Sobolevo,54.4299,31.8996,46.15,95,100,10.11,RU,1650780465
292,Machakos,-1.5167,37.2667,64.35,86,100,3.76,KE,1650780465
293,Sayyan,15.1718,44.3244,67.69,23,8,4.76,YE,1650780466
294,Baruun-Urt,46.6806,113.2792,58.44,15,30,15.64,MN,1650780467
295,San Policarpo,12.1791,125.5072,80.49,86,100,12.68,PH,1650780468
296,Hambantota,6.1241,81.1185,88.14,70,20,4.61,LK,1650780469
297,Nantucket,41.2835,-70.0995,51.91,87,0,6.91,US,1650780469
298,Puerto Lempira,15.2667,-83.7667,75.13,89,48,5.48,HN,1650780470
299,Douglas,41.3,-96.167,49.82,54,0,9.22,US,1650780198
300,Palana,59.1167,159.9667,30.45,93,100,4.88,RU,1650780472
301,El Tránsito,13.35,-88.35,78.08,80,73,1.59,SV,1650780472
302,Meulaboh,4.1363,96.1285,87.19,67,86,7.58,ID,1650780473
303,San Quintín,30.4833,-115.95,58.37,84,0,7.7,MX,1650780474
304,Oktyabr'skiy,54.4815,53.471,48.45,61,97,8.66,RU,1650780475
305,Tuatapere,-46.1333,167.6833,49.17,77,100,12.75,NZ,1650780476
306,Nālūt,30.3333,10.85,64.98,18,74,10.45,LY,1650780477
307,Porto-Novo,6.4965,2.6036,79.88,88,100,5.19,BJ,1650780478
308,Birao,10.2849,22.7882,86.68,41,70,7.63,CF,1650780479
309,Boguchany,58.3814,97.4531,29.25,81,100,8.39,RU,1650780479
310,Östersund,63.1792,14.6357,32.45,80,69,3.44,SE,1650780480
311,Henties Bay,-22.116,14.2845,59.32,85,82,9.04,NA,1650780481
312,Lorengau,-2.0226,147.2712,82.78,77,87,7.83,PG,1650780482
313,Dingle,10.9995,122.6711,88.72,61,78,10.54,PH,1650780483
314,Diamantino,-14.4086,-56.4461,71.1,92,98,5.01,BR,1650780484
315,Saint-François,46.4154,3.9054,47.68,87,100,2.3,FR,1650780484
316,Carnarvon,-24.8667,113.6333,82.08,47,0,12.3,AU,1650780338
317,Altos,-5.0381,-42.46,69.75,99,100,2.86,BR,1650780231
318,Druzhba,52.0428,33.9453,51.4,83,100,15.01,UA,1650780486
319,Guerrero Negro,27.9769,-114.0611,58.8,82,0,12.5,MX,1650780251
320,Praia,14.9215,-23.5087,75.74,46,0,17.27,CV,1650780488
321,Chui,-33.6971,-53.4616,51.82,75,1,6.71,UY,1650780489
322,Bilibino,68.0546,166.4372,21.29,82,97,0.25,RU,1650780489
323,Maraã,-1.8333,-65.3667,73.08,96,58,1.77,BR,1650780490
324,Longyan,25.1072,117.0225,84.56,63,9,5.64,CN,1650780491
325,Skjervøy,70.0311,20.9714,37.4,81,90,9.1,NO,1650780492
326,Majene,-3.5403,118.9707,85.59,71,36,5.19,ID,1650780493
327,Maputo,-25.9653,32.5892,72.23,87,2,5.99,MZ,1650780364
328,Saint-Joseph,-21.3667,55.6167,79.18,70,81,14.58,RE,1650780495
329,Oranjemund,-28.55,16.4333,53.01,81,54,8.21,NA,1650780495
330,Matveyevka,52.15,56.1833,52.3,41,93,10.96,RU,1650780496
331,Coquimbo,-29.9533,-71.3436,58.33,88,3,5.35,CL,1650780254
332,Kuandian,40.7286,124.7847,69.06,35,81,2.95,CN,1650780498
333,Hobyo,5.3505,48.5268,85.82,63,82,9.89,SO,1650780499
334,Fort Myers Beach,26.452,-81.9481,72.01,78,0,8.05,US,1650780490
335,Saldanha,-33.0117,17.9442,56.73,73,2,7.16,ZA,1650780500
336,Broome,42.2506,-75.833,52.2,71,0,8.05,US,1650780501
337,Coyhaique,-45.5752,-72.0662,39.81,100,100,2.3,CL,1650780502
338,Kawalu,-7.3817,108.2082,84.51,72,84,4.34,ID,1650780503
339,Puerto del Rosario,28.5004,-13.8627,62.35,72,0,3.44,ES,1650780504
340,Ixtapa,20.7,-105.2,67.48,71,1,2.28,MX,1650780505
341,Yar-Sale,66.8333,70.8333,9.05,82,91,4.14,RU,1650780505
342,Tendūkheda,23.4,79.55,102.74,8,5,9.26,IN,1650780506
343,Rawson,-43.3002,-65.1023,54.01,46,16,15.21,AR,1650780507
344,Padilla,3.2204,-76.3139,67.57,93,73,0.65,CO,1650780508
345,Aginskoye,51.1,114.53,42.71,23,59,20.74,RU,1650780509
346,Buckeye,33.3703,-112.5838,74.82,16,75,9.22,US,1650780509
347,Khani,41.9563,42.9566,62.17,43,0,5.01,GE,1650780510
348,Santa Lucía,27.9117,-15.5407,53.94,71,75,2.3,ES,1650780453
349,Yerbogachën,61.2767,108.0108,34.05,53,100,1.77,RU,1650780512
350,Pokhara,28.2333,83.9833,89.71,21,0,8.66,NP,1650780512
351,Livingstone,-17.8419,25.8543,69.53,72,84,4.88,ZM,1650780514
352,Iisalmi,63.5592,27.1907,36.52,73,17,4.81,FI,1650780515
353,Enid,36.3956,-97.8784,68.09,92,20,9.22,US,1650780515
354,Glace Bay,46.1969,-59.957,32.79,85,87,8.01,CA,1650780516
355,Huilong,31.8111,121.655,65.86,85,55,11.41,CN,1650780517
356,Markova,48.6758,24.4138,48.27,73,42,3.53,UA,1650780518
357,Hryshkivtsi,49.9353,28.6038,46.83,77,52,7.78,UA,1650780519
358,Chapais,49.7834,-74.8492,22.41,91,100,4.88,CA,1650780520
